Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",0603,4,0.1u,
"D1, D10, D11, D12, D13, D14, D15, D2, D3, D4, D5, D6, D7, D8, D9",0805,15,IR17-21C/TR8,
"IC1, IC2",DIP575W60P254L560H210Q4N,2,S7136,
"J1, J2",JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,2,side_l,
J3,CON_5051101892_MOL,1,Conn_01x18_Pin,
"Q1, Q10, Q11, Q12, Q13, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",0805,13,PT17-21B/L41/TR8,
"R1, R10, R15, R16, R17, R2, R21, R22, R25, R26, R3, R8, R9",0603,13,180,
"R11, R12, R13, R18, R19, R20, R23, R24, R27, R28, R5, R6, R7",0603,13,10k,
"R14, R4",0603,2,420,
